Country_name,year,Life_Ladder,Log_GDP_per_capita_x,Social_support_x,Healthy_life_expectancy_at_birth_x,Freedom_to_make_life_choices_x,Generosity_x,Perceptions_of_corruption_x,Regional_indicator,level_happiness,Life_Ladder_Avg,Log_GDP_per_capita_y,Social_support_y,Healthy_life_expectancy_at_birth_y,Freedom_to_make_life_choices_y,Generosity_y,Perceptions_of_corruption_y,MAE
Australia,2021,7.183,10.796,0.94,73.9,0.914,0.159,0.442,North America and ANZ,2,7.222,10.787119262,0.9439709234,73.48090759200001,0.9164863476,0.202692032,0.412033824,0.03900000000000059
Austria,2017,7.294,10.908,0.906,72.7,0.89,0.133,0.518,Western Europe,2,7.294,10.908,0.906,72.7,0.89,0.133,0.518,0.0
Austria,2018,7.396,10.928,0.912,73.0,0.904,0.053,0.523,Western Europe,2,7.396,10.928,0.912,73.0,0.904,0.053,0.523,0.0
Austria,2019,7.195,10.939,0.964,73.3,0.903,0.06,0.457,Western Europe,2,7.195,10.939,0.964,73.3,0.903,0.06,0.457,0.0
Austria,2020,7.294199944,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,Western Europe,2,6.891,10.909400000000002,0.9272,72.7,0.8972000000000001,0.0849999999999999,0.5157999999999999,0.4031999439999998
Austria,2021,7.268,10.906,0.934,73.3,0.908,0.042,0.481,Western Europe,2,6.874,10.88176472,0.9272091738,72.88050048800001,0.8971978971999999,0.0822858442,0.5043909758,0.39400000000000013
Azerbaijan,2017,5.152,9.555,0.787,65.2,0.731,-0.225,0.653,Commonwealth of Independent States,1,5.152,9.555,0.787,65.2,0.731,-0.225,0.653,0.0
Azerbaijan,2018,5.168,9.562,0.781,65.5,0.772,-0.232,0.561,Commonwealth of Independent States,1,5.168,9.562,0.781,65.5,0.772,-0.232,0.561,0.0
Azerbaijan,2019,5.173,9.575,0.887,65.8,0.854,-0.214,0.457,Commonwealth of Independent States,1,5.173,9.575,0.887,65.8,0.854,-0.214,0.457,0.0
Azerbaijan,2020,5.164800167,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756,Commonwealth of Independent States,1,5.31,9.572399999999998,0.8036000000000001,65.2,0.7667999999999999,-0.2145999999999999,0.5788,0.1451998329999995
Azerbaijan,2021,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,Commonwealth of Independent States,1,5.326,9.5887453948,0.8102616562,65.38167999200002,0.7713648214000001,-0.2230510562,0.566107512,0.15499999999999936
Bahrain,2017,6.227,10.771,0.876,68.5,0.906,0.136,0.6040495857142858,Middle East and North Africa,1,6.227,10.771,0.876,68.5,0.906,0.136,0.6040495857142858,0.0
Bahrain,2019,7.098,10.715,0.878,69.3,0.907,0.048,0.6040495857142858,Middle East and North Africa,1,7.098,10.715,0.878,69.3,0.907,0.048,0.6040495857142858,0.0
Bahrain,2020,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,Middle East and North Africa,1,6.251,10.767,0.8702244021454545,68.20400000000001,0.8831610140909092,0.0899495375555555,0.6040495857142858,0.023699833000000226
Bahrain,2021,6.647,10.669,0.862,69.495,0.925,0.089,0.722,Middle East and North Africa,1,6.237,10.745676032000002,0.8692684236,68.42,0.8915711550000001,0.103545838,0.6311090885714286,0.41000000000000014
Bangladesh,2017,4.31,8.334,0.713,63.8,0.896,0.012,0.635,South Asia,0,4.31,8.334,0.713,63.8,0.896,0.012,0.635,0.0
Bangladesh,2018,4.499,8.399,0.706,64.3,0.901,-0.043,0.701,South Asia,0,4.499,8.399,0.706,64.3,0.901,-0.043,0.701,0.0
Bangladesh,2019,5.114,8.467,0.673,64.8,0.902,-0.051,0.656,South Asia,0,5.114,8.467,0.673,64.8,0.902,-0.051,0.656,0.0
Bangladesh,2020,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,South Asia,0,4.677,8.338,0.6684,63.8,0.8778,-0.0477999999999999,0.6801999999999999,0.1557999110000008
Bangladesh,2021,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,South Asia,0,4.737,8.352212719799999,0.6856585986000001,64.14061340399999,0.8949249979999999,-0.0409329452,0.6683687076,0.28800000000000026
Belarus,2017,5.553,9.814,0.9,65.8,0.621,-0.122,0.654,Commonwealth of Independent States,1,5.553,9.814,0.9,65.8,0.621,-0.122,0.654,0.0
Belarus,2018,5.234,9.846,0.905,66.1,0.644,-0.174,0.718,Commonwealth of Independent States,1,5.234,9.846,0.905,66.1,0.644,-0.174,0.718,0.0
Belarus,2019,5.821,9.86,0.917,66.4,0.657,-0.186,0.546,Commonwealth of Independent States,1,5.821,9.86,0.917,66.4,0.657,-0.186,0.546,0.0
Belarus,2020,5.539899826,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,Commonwealth of Independent States,1,5.5,9.8246,0.9146,65.8,0.6406000000000001,-0.1396,0.6502000000000001,0.03989982600000008
Belarus,2021,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,Commonwealth of Independent States,1,5.479,9.8175890748,0.911149492,65.980866394,0.6438326154,-0.1543853088,0.6435423339999999,0.054999999999999716
Belgium,2017,6.928,10.834,0.922,71.8,0.857,0.054,0.543,Western Europe,2,6.928,10.834,0.922,71.8,0.857,0.054,0.543,0.0
Belgium,2018,6.892,10.844,0.93,72.0,0.808,-0.125,0.63,Western Europe,2,6.892,10.844,0.93,72.0,0.808,-0.125,0.63,0.0
Belgium,2019,6.772,10.853,0.884,72.2,0.776,-0.172,0.672,Western Europe,2,6.772,10.853,0.884,72.2,0.776,-0.172,0.672,0.0
Belgium,2020,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,Western Europe,2,6.647,10.832,0.91,71.8,0.8351999999999998,-0.0474,0.5622,0.2165001179999999
Belgium,2021,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,Western Europe,2,6.594,10.80472786,0.9153265076,71.92032959,0.8241164125999999,-0.0755382397999999,0.5908595904,0.23999999999999932
Benin,2017,4.853,8.021,0.436,53.9,0.727,-0.065,0.767,Sub-Saharan Africa,0,4.853,8.021,0.436,53.9,0.727,-0.065,0.767,0.0
Benin,2018,5.82,8.059,0.504,54.3,0.713,0.002,0.747,Sub-Saharan Africa,0,5.82,8.059,0.504,54.3,0.713,0.002,0.747,0.0
Benin,2019,4.976,8.098,0.442,54.7,0.77,-0.016,0.698,Sub-Saharan Africa,0,4.976,8.098,0.442,54.7,0.77,-0.016,0.698,0.0
Benin,2020,5.21600008,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,Sub-Saharan Africa,0,3.807,8.0318,0.4618,53.9,0.7445999999999999,-0.0341999999999999,0.78,1.4090000799999998
Benin,2021,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,Sub-Saharan Africa,0,3.8,7.969063948800001,0.4687342285999999,54.14249313399999,0.7450365166,-0.0295074426,0.7581065154,1.245
Bolivia,2017,5.651,9.039,0.779,63.3,0.884,-0.12,0.819,Latin America and Caribbean,1,5.651,9.039,0.779,63.3,0.884,-0.12,0.819,0.0
Bolivia,2018,5.916,9.066,0.827,63.6,0.863,-0.093,0.786,Latin America and Caribbean,1,5.916,9.066,0.827,63.6,0.863,-0.093,0.786,0.0
Bolivia,2019,5.674,9.074,0.784,63.9,0.881,-0.086,0.857,Latin America and Caribbean,1,5.674,9.074,0.784,63.9,0.881,-0.086,0.857,0.0
Bolivia,2020,5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,Latin America and Caribbean,1,5.826,9.0352,0.8029999999999999,63.3,0.8788,-0.0752,0.8353999999999999,0.0785000569999994
Bolivia,2021,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,Latin America and Caribbean,1,5.791,9.0084230454,0.7978217383999999,63.4800943,0.8771746653999999,-0.087536226,0.8275212412,0.07500000000000018
Bosnia and Herzegovina,2017,5.09,9.532,0.775,67.5,0.564,0.092,0.923,Central and Eastern Europe,1,5.09,9.532,0.775,67.5,0.564,0.092,0.923,0.0
Bosnia and Herzegovina,2018,5.887,9.576,0.836,67.8,0.659,0.123,0.913,Central and Eastern Europe,1,5.887,9.576,0.836,67.8,0.659,0.123,0.913,0.0
Bosnia and Herzegovina,2019,6.016,9.609,0.873,68.1,0.722,0.079,0.963,Central and Eastern Europe,1,6.016,9.609,0.873,68.1,0.722,0.079,0.963,0.0
Bosnia and Herzegovina,2020,5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,Central and Eastern Europe,1,5.216,9.5348,0.7895999999999999,67.5,0.6418,0.0746,0.9432,0.4580999219999997
Bosnia and Herzegovina,2021,5.813,9.59,0.87,68.098,0.706,0.113,0.931,Central and Eastern Europe,1,5.299,9.5345634446,0.8242408284,67.681627198,0.6458705408000001,0.1052549117999999,0.9379538214,0.5139999999999993
Botswana,2017,3.505,9.756,0.768,58.2,0.817,-0.248,0.731,Sub-Saharan Africa,0,3.505,9.756,0.768,58.2,0.817,-0.248,0.731,0.0
Botswana,2018,3.461,9.778,0.795,58.9,0.818,-0.254,0.807,Sub-Saharan Africa,0,3.461,9.778,0.795,58.9,0.818,-0.254,0.807,0.0
Botswana,2019,3.471,9.785,0.774,59.6,0.833,-0.239,0.792,Sub-Saharan Africa,0,3.471,9.785,0.774,59.6,0.833,-0.239,0.792,0.0
Botswana,2020,3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.777930915,Sub-Saharan Africa,0,5.133,9.7582,0.7842,58.2,0.8353999999999999,-0.2219999999999999,0.7837999999999999,1.6541000440000002
Botswana,2021,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,Sub-Saharan Africa,0,5.093,9.755640714999998,0.7768243514,58.624890748,0.8282656208000001,-0.2488788985999999,0.7673861829999999,1.626
Brazil,2017,6.333,9.583,0.905,66.2,0.765,-0.175,0.794,Latin America and Caribbean,1,6.333,9.583,0.905,66.2,0.765,-0.175,0.794,0.0
Brazil,2018,6.191,9.589,0.882,66.4,0.751,-0.117,0.763,Latin America and Caribbean,1,6.191,9.589,0.882,66.4,0.751,-0.117,0.763,0.0
Brazil,2019,6.451,9.592,0.899,66.6,0.83,-0.062,0.762,Latin America and Caribbean,1,6.451,9.592,0.899,66.6,0.83,-0.062,0.762,0.0
Brazil,2020,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,Latin America and Caribbean,1,6.179,9.5924,0.901,66.2,0.7904,-0.094,0.7742,0.19659986100000015
Brazil,2021,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,Latin America and Caribbean,1,6.151,9.581686972,0.8989447614000001,66.336032714,0.7905609614,-0.1111624784,0.7741202546,0.17900000000000027
Bulgaria,2017,5.097,9.969,0.942,66.6,0.689,-0.154,0.911,Central and Eastern Europe,1,5.097,9.969,0.942,66.6,0.689,-0.154,0.911,0.0
Bulgaria,2018,5.099,10.007,0.924,66.8,0.724,-0.176,0.952,Central and Eastern Europe,1,5.099,10.007,0.924,66.8,0.724,-0.176,0.952,0.0
Bulgaria,2019,5.108,10.047,0.948,67.0,0.822,-0.109,0.943,Central and Eastern Europe,1,5.108,10.047,0.948,67.0,0.822,-0.109,0.943,0.0
Bulgaria,2020,5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,Central and Eastern Europe,1,5.586,9.9668,0.9296,66.6,0.7144,-0.1618,0.9366,0.48449996600000045
Bulgaria,2021,5.266,10.016,0.931,67.0,0.788,-0.096,0.932,Central and Eastern Europe,1,5.618,9.9640637924,0.9355680686,66.72079559400001,0.7360356325999999,-0.1505816882,0.9355170282,0.3520000000000003
Burkina Faso,2017,4.647,7.627,0.785,53.4,0.614,-0.063,0.727,Sub-Saharan Africa,0,4.647,7.627,0.785,53.4,0.614,-0.063,0.727,0.0
Burkina Faso,2018,4.927,7.665,0.665,53.9,0.721,-0.013,0.757,Sub-Saharan Africa,0,4.927,7.665,0.665,53.9,0.721,-0.013,0.757,0.0
Burkina Faso,2019,4.741,7.691,0.683,54.4,0.678,-0.004,0.729,Sub-Saharan Africa,0,4.741,7.691,0.683,54.4,0.678,-0.004,0.729,0.0
Burkina Faso,2020,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029,Sub-Saharan Africa,0,4.086,7.629399999999999,0.7204,53.4,0.6634,-0.0154,0.7254,0.682700123
Burkina Faso,2021,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,Sub-Saharan Africa,0,4.067,7.609508991999999,0.7219887228,53.697890778,0.6647127166,-0.0200161032,0.7347590058000001,0.7669999999999995
Burundi,2018,3.775,6.635,0.485,53.4,0.646,-0.024,0.599,Sub-Saharan Africa,0,3.775,6.635,0.485,53.4,0.646,-0.024,0.599,0.0
Burundi,2020,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,Sub-Saharan Africa,0,3.21,6.914199999999999,0.4939999999999999,51.9422,0.5378,-0.0346,0.71,0.5653000260000001
Burundi,2021,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,Sub-Saharan Africa,0,3.031,6.6771284806,0.4576651438,51.792000306,0.5240700448,-0.0363103194,0.6817869094000001,0.7439999999999998
Cambodia,2017,4.586,8.276,0.765,61.2,0.964,0.088,0.821,Southeast Asia,1,4.586,8.276,0.765,61.2,0.964,0.088,0.821,0.0
Cambodia,2018,5.122,8.333,0.795,61.6,0.958,0.036,0.8467307538333332,Southeast Asia,1,5.122,8.333,0.795,61.6,0.958,0.036,0.8467307538333332,0.0
Cambodia,2019,4.998,8.387,0.759,62.0,0.957,0.013,0.828,Southeast Asia,1,4.998,8.387,0.759,62.0,0.957,0.013,0.828,0.0
Cambodia,2020,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,Southeast Asia,1,4.754,8.2788,0.7588,61.2,0.9586,0.0846,0.8321461507666665,0.09440011600000009
Cambodia,2021,4.83,8.36,0.765,62.0,0.959,0.034,0.843,Southeast Asia,1,4.75,8.294178065399999,0.7676161294,61.425993652,0.9593409276,0.0529822358,0.8316999599666666,0.08000000000000007
Cameroon,2017,5.074,8.176,0.695,51.9,0.767,-0.028,0.844,Sub-Saharan Africa,0,5.074,8.176,0.695,51.9,0.767,-0.028,0.844,0.0
Cameroon,2018,5.251,8.19,0.677,52.7,0.816,0.036,0.884,Sub-Saharan Africa,0,5.251,8.19,0.677,52.7,0.816,0.036,0.884,0.0
Cameroon,2019,4.937,8.203,0.711,53.5,0.712,-0.008,0.817,Sub-Saharan Africa,0,4.937,8.203,0.711,53.5,0.712,-0.008,0.817,0.0
Cameroon,2020,5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,Sub-Saharan Africa,0,4.267,8.176999999999998,0.6776,51.9,0.7597999999999999,0.0091999999999999,0.8583999999999999,0.8178999019999997
Cameroon,2021,5.142,8.189,0.71,53.515,0.731,0.026,0.848,Sub-Saharan Africa,0,4.268,8.170929515000001,0.688477281,52.38098816,0.7542103616,-0.00089929,0.8550673195999998,0.8740000000000006
Canada,2017,7.415,10.792,0.934,73.4,0.945,0.163,0.362,North America and ANZ,2,7.415,10.792,0.934,73.4,0.945,0.163,0.362,0.0
Canada,2018,7.175,10.798,0.923,73.6,0.946,0.106,0.372,North America and ANZ,2,7.175,10.798,0.923,73.6,0.946,0.106,0.372,0.0
Canada,2019,7.109,10.8,0.925,73.8,0.912,0.112,0.436,North America and ANZ,2,7.109,10.8,0.925,73.8,0.912,0.112,0.436,0.0
Canada,2020,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,North America and ANZ,2,7.205,10.7874,0.929,73.4,0.9292,0.1689999999999999,0.3964,0.02710000999999984
Canada,2021,7.103,10.776,0.926,73.8,0.915,0.089,0.415,North America and ANZ,2,7.172,10.771073702,0.9266353308000002,73.52032013,0.9297826462,0.1433541535999999,0.3891686723999999,0.06899999999999995
Central African Republic,2017,3.476,6.817,0.32,45.2,0.645,0.073,0.89,Sub-Saharan Africa,0,3.476,6.817,0.32,45.2,0.645,0.073,0.89,0.0
Central African Republic,2020,3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662,Sub-Saharan Africa,0,3.71,7.7188,0.4811999999999999,49.936,0.7308,0.0286,0.7686,0.2341000649999998
Chad,2017,4.559,7.37,0.661,47.7,0.615,0.008,0.792,Sub-Saharan Africa,0,4.559,7.37,0.661,47.7,0.615,0.008,0.792,0.0
Chad,2018,4.486,7.363,0.577,48.2,0.65,0.024,0.763,Sub-Saharan Africa,0,4.486,7.363,0.577,48.2,0.65,0.024,0.763,0.0
Chad,2019,4.251,7.365,0.64,48.7,0.537,0.055,0.832,Sub-Saharan Africa,0,4.251,7.365,0.64,48.7,0.537,0.055,0.832,0.0
Chad,2020,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839,Sub-Saharan Africa,0,3.671,7.411199999999999,0.649,47.7,0.5601999999999999,0.022,0.8192,0.7516999280000003
Chad,2021,4.355,7.364,0.619,48.478,0.579,0.041,0.807,Sub-Saharan Africa,0,3.652,7.3993927392,0.625277611,48.004107818,0.5828610496,0.0313669438,0.8019521678,0.7030000000000003
Chile,2017,6.32,10.072,0.88,69.8,0.79,-0.02,0.836,Latin America and Caribbean,1,6.32,10.072,0.88,69.8,0.79,-0.02,0.836,0.0
Chile,2018,6.436,10.097,0.89,69.9,0.789,-0.06,0.816,Latin America and Caribbean,1,6.436,10.097,0.89,69.9,0.789,-0.06,0.816,0.0
Chile,2019,5.942,10.095,0.869,70.0,0.659,-0.103,0.86,Latin America and Caribbean,1,5.942,10.095,0.869,70.0,0.659,-0.103,0.86,0.0
Chile,2020,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,Latin America and Caribbean,1,6.289,10.081599999999998,0.8614,69.8,0.7318000000000001,-0.008,0.8363999999999999,0.060500110999999634
Chile,2021,6.172,10.071,0.882,70.0,0.742,-0.044,0.83,Latin America and Caribbean,1,6.275,10.07401098,0.8719427190000001,69.860123902,0.7269792586000001,-0.0293336734,0.8416478862,0.10300000000000065
China,2017,5.099,9.571,0.772,69.0,0.878,-0.175,0.7544855500000001,East Asia,1,5.099,9.571,0.772,69.0,0.878,-0.175,0.7544855500000001,0.0
China,2018,5.131,9.632,0.788,69.3,0.895,-0.159,0.7544855500000001,East Asia,1,5.131,9.632,0.788,69.3,0.895,-0.159,0.7544855500000001,0.0
China,2019,5.144,9.688,0.822,69.6,0.927,-0.173,0.7544855500000001,East Asia,1,5.144,9.688,0.822,69.6,0.927,-0.173,0.7544855500000001,0.0
China,2020,5.123899937,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,East Asia,1,5.223,9.57,0.7836000000000001,69.0,0.8806207162799999,-0.1958,0.7544855500000001,0.09910006299999985
China,2021,5.339,9.673,0.811,69.593,0.904,-0.146,0.755,East Asia,1,5.252,9.617913623000002,0.7845521186,69.17783844,0.89001393954,-0.18328515,0.7543826600000001,0.08700000000000063
Colombia,2017,6.157,9.569,0.909,67.4,0.838,-0.157,0.875,Latin America and Caribbean,1,6.157,9.569,0.909,67.4,0.838,-0.157,0.875,0.0
Colombia,2018,5.984,9.579,0.871,67.7,0.851,-0.148,0.855,Latin America and Caribbean,1,5.984,9.579,0.871,67.7,0.851,-0.148,0.855,0.0
Colombia,2019,6.35,9.598,0.873,68.0,0.822,-0.172,0.854,Latin America and Caribbean,1,6.35,9.598,0.873,68.0,0.822,-0.172,0.854,0.0
Colombia,2020,6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,Latin America and Caribbean,1,6.129,9.5762,0.885,67.4,0.8273999999999999,-0.1354,0.865,0.034400173000000756
Colombia,2021,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,Latin America and Caribbean,1,6.113,9.5634738144,0.8838880486,67.579916992,0.8364359824,-0.147647129,0.8693143620000001,0.10100000000000087
Comoros,2018,3.973,8.028,0.621,57.2,0.56,0.086,0.794,Sub-Saharan Africa,0,3.973,8.028,0.621,57.2,0.56,0.086,0.794,0.0
Comoros,2019,4.609,8.033,0.632,57.5,0.538,0.077,0.762,Sub-Saharan Africa,0,4.609,8.033,0.632,57.5,0.538,0.077,0.762,0.0
Comoros,2020,4.288599968,7.833630085,0.625662446,57.34901047,0.547612607,0.090008408,0.780622602,Sub-Saharan Africa,0,4.038,7.999,0.683,55.952,0.5322000000000001,-0.0056,0.736,0.2505999679999995
Comoros,2021,4.289,8.031,0.626,57.349,0.548,0.082,0.781,Sub-Saharan Africa,0,3.996,7.972726017000001,0.6639324891999999,56.481802094,0.5359225214000001,0.0114016815999999,0.7439245204,0.2929999999999997
Congo (Brazzaville),2017,4.884,8.146,0.655,57.3,0.778,-0.131,0.763,Sub-Saharan Africa,0,4.884,8.146,0.655,57.3,0.778,-0.131,0.763,0.0
Congo (Brazzaville),2018,5.49,8.136,0.621,57.9,0.699,-0.092,0.738,Sub-Saharan Africa,0,5.49,8.136,0.621,57.9,0.699,-0.092,0.738,0.0
Congo (Brazzaville),2019,5.213,8.101,0.625,58.5,0.686,-0.046,0.741,Sub-Saharan Africa,0,5.213,8.101,0.625,58.5,0.686,-0.046,0.741,0.0
Congo (Brazzaville),2020,5.194399834,8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,0.751779079,Sub-Saharan Africa,0,4.204,8.1632,0.6316,57.3,0.7598,-0.089,0.7746000000000001,0.9903998340000006
Congo (Brazzaville),2021,5.342,8.117,0.636,58.221,0.695,-0.068,0.745,Sub-Saharan Africa,0,4.196,8.221997461,0.6312456186000001,57.664896088,0.7336117028,-0.092934819,0.7567558158,1.146
Congo (Kinshasa),2017,4.311,6.966,0.67,52.9,0.704,0.068,0.809,Sub-Saharan Africa,0,4.311,6.966,0.67,52.9,0.704,0.068,0.809,0.0
